Survival Week,League,Team,Owner,Score,Cumulative Score
4,L4 LTS League 4 (some),Forrest Whitaker eye,cptbeefalo,0,679.36
4,L2 Sack Based Floor,Sorry to the kids,FoolofaTook13,0,666.94
4,L3 The Only Legitimate LTS Bowl League,39ers,tripp39,0,634.94
4,L5 Week 3 Nick Foles,Big Seltzer™,jonsey456,0,629.99
4,L5 Week 3 Nick Foles,TD Upside,csurunnerccr,0,621.8
4,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Deredactyl,0,621.38
4,L5 Week 3 Nick Foles,Closet Poopers,coots1185,0,607.52
4,L2 Sack Based Floor,jimmy2thumbs,jimmy2thumbs,0,602.48
4,L2 Sack Based Floor,LamArby’s,apulianas,0,596.8299999999999
4,L3 The Only Legitimate LTS Bowl League,WilhelmTilt,ringular,0,596.71
4,L2 Sack Based Floor,The Poop Monsters,karmannkc,0,596.46
4,L3 The Only Legitimate LTS Bowl League,Turd Ferguson,TurdFergusonFF,0,591.6700000000001
4,L5 Week 3 Nick Foles,sadmalander,sadmalander,0,588.61
4,L1 The Process,Horsey Sauce,FeelingDangerouz,0,587.98
4,L3 The Only Legitimate LTS Bowl League,The Woke FAAB,reginaldo,0,583.6800000000001
4,L3 The Only Legitimate LTS Bowl League,Never Owned ,alexewart,0,582.81
4,L1 The Process,Admiral Snackbar,Dandelo19,0,581.4300000000001
4,L1 The Process,#Fartgate,DrWraith84,0,578.95
4,L1 The Process,sugarfreemocha,sugarfreemocha,0,578.78
4,L4 LTS League 4 (some),The Glorious Process,GuzOP21,0,570.88
4,L1 The Process,O'Shaughnessy's Pub,OShaughnessysPub,0,570.29
4,L4 LTS League 4 (some),DavisDayCare,DavisDayCare,0,567.87
4,L2 Sack Based Floor,jbieligk,jbieligk,0,565.05
4,L4 LTS League 4 (some),Tennesunk Titans,austinhunt94,0,562.1800000000001
4,L5 Week 3 Nick Foles,Lenny’s Retirement Party,matthewdwood82,0,562.14
4,L4 LTS League 4 (some),jetsgnome22,jetsgnome22,0,560.52
4,L4 LTS League 4 (some),BigUglyRhino,ErikFedders,0,556.97
4,L4 LTS League 4 (some),You could do worse,pfitzsimmons85,0,556.11
4,L2 Sack Based Floor,Leg Wrestling Champ,RawlsTofJ,0,552.81
4,L5 Week 3 Nick Foles,Great Clips' Revenge,CommieEsq,0,548.13
4,L1 The Process,AWhore,AWhore,0,544.45
4,L4 LTS League 4 (some),powersrva,powersrva,0,544.34
4,L1 The Process,SycamoreFlynns,SycamoreFlynns,0,539.04
4,L3 The Only Legitimate LTS Bowl League,johnnysmomskid,johnnysmomskid,0,537.47
4,L5 Week 3 Nick Foles,The Lib Owners,nak97,0,527.2
4,L1 The Process,Weagle85,Weagle85,0,521.88
4,L2 Sack Based Floor, I am tilting,arthurdantas,0,516.6
4,L3 The Only Legitimate LTS Bowl League,_casey88,_casey88,0,513.71
3,L4 LTS League 4 (some),Forrest Whitaker eye,cptbeefalo,271.7,679.36
3,L2 Sack Based Floor,LamArby’s,apulianas,252.29,596.8299999999999
3,L2 Sack Based Floor,Leg Wrestling Champ,RawlsTofJ,238.75,552.81
3,L2 Sack Based Floor,jimmy2thumbs,jimmy2thumbs,236.94,602.48
3,L2 Sack Based Floor,Sorry to the kids,FoolofaTook13,234.42,666.94
3,L5 Week 3 Nick Foles,Lenny’s Retirement Party,matthewdwood82,231.38,562.14
3,L3 The Only Legitimate LTS Bowl League,Turd Ferguson,TurdFergusonFF,228.69,591.6700000000001
3,L5 Week 3 Nick Foles,TD Upside,csurunnerccr,224.37,621.8
3,L4 LTS League 4 (some),powersrva,powersrva,222.27,544.34
3,L3 The Only Legitimate LTS Bowl League,39ers,tripp39,217.24,634.94
3,L5 Week 3 Nick Foles,Big Seltzer™,jonsey456,217.16,629.99
3,L1 The Process,O'Shaughnessy's Pub,OShaughnessysPub,216.72,570.29
3,L1 The Process,Admiral Snackbar,Dandelo19,211.98,581.4300000000001
3,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Deredactyl,206.05,621.38
3,L3 The Only Legitimate LTS Bowl League,johnnysmomskid,johnnysmomskid,205.56,537.47
3,L4 LTS League 4 (some),DavisDayCare,DavisDayCare,203.06,567.87
3,L1 The Process,Horsey Sauce,FeelingDangerouz,202.57,587.98
3,L3 The Only Legitimate LTS Bowl League,WilhelmTilt,ringular,199.76,596.71
3,L4 LTS League 4 (some),You could do worse,pfitzsimmons85,199.44,556.11
3,L1 The Process,AWhore,AWhore,199.19,544.45
3,L5 Week 3 Nick Foles,Closet Poopers,coots1185,196.61,607.52
3,L1 The Process,SycamoreFlynns,SycamoreFlynns,194.68,539.04
3,L1 The Process,#Fartgate,DrWraith84,192.76,578.95
3,L5 Week 3 Nick Foles,sadmalander,sadmalander,192.69,588.61
3,L3 The Only Legitimate LTS Bowl League,Never Owned ,alexewart,190.76,582.81
3,L4 LTS League 4 (some),jetsgnome22,jetsgnome22,187.92,560.52
3,L1 The Process,sugarfreemocha,sugarfreemocha,187.5,578.78
3,L4 LTS League 4 (some),The Glorious Process,GuzOP21,180.38,570.88
3,L4 LTS League 4 (some),BigUglyRhino,ErikFedders,180.25,556.97
3,L5 Week 3 Nick Foles,Great Clips' Revenge,CommieEsq,179.74,548.13
3,L2 Sack Based Floor,jbieligk,jbieligk,175.88,565.05
3,L2 Sack Based Floor,The Poop Monsters,karmannkc,174.09,596.46
3,L4 LTS League 4 (some),Tennesunk Titans,austinhunt94,173.74,562.1800000000001
3,L5 Week 3 Nick Foles,The Lib Owners,nak97,169.7,527.2
3,L3 The Only Legitimate LTS Bowl League,The Woke FAAB,reginaldo,168.72,583.6800000000001
3,L1 The Process,Weagle85,Weagle85,167.62,521.88
3,L3 The Only Legitimate LTS Bowl League,_casey88,_casey88,167.39,513.71
3,L1 The Process,Sweep The Leg,ctjoumas,164,508.76
3,L2 Sack Based Floor, I am tilting,arthurdantas,162.26,516.6
3,L4 LTS League 4 (some),Poop on the Cob,Joker1b,159.28,500.67999999999995
3,L5 Week 3 Nick Foles,fantasyscott,fantasyscott,155.52,469.61
2,L2 Sack Based Floor,The Poop Monsters,karmannkc,249.93,422.37
2,L3 The Only Legitimate LTS Bowl League,39ers,tripp39,246.1,417.7
2,L4 LTS League 4 (some),The Glorious Process,GuzOP21,245.7,390.5
2,L4 LTS League 4 (some),Forrest Whitaker eye,cptbeefalo,234.57,407.65999999999997
2,L3 The Only Legitimate LTS Bowl League,The Woke FAAB,reginaldo,230.49,414.96000000000004
2,L2 Sack Based Floor,Sorry to the kids,FoolofaTook13,224.53,432.52
2,L5 Week 3 Nick Foles,TD Upside,csurunnerccr,220.71,397.43
2,L1 The Process,Horsey Sauce,FeelingDangerouz,220.32,385.40999999999997
2,L5 Week 3 Nick Foles,Closet Poopers,coots1185,218.99,410.90999999999997
2,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Deredactyl,218.82,415.33
2,L1 The Process,#Fartgate,DrWraith84,217.07,386.19
2,L5 Week 3 Nick Foles,Big Seltzer™,jonsey456,216.27,412.83000000000004
2,L3 The Only Legitimate LTS Bowl League,Turd Ferguson,TurdFergusonFF,212.15,362.98
2,L1 The Process,sugarfreemocha,sugarfreemocha,211.36,391.28
2,L3 The Only Legitimate LTS Bowl League,WilhelmTilt,ringular,209.6,396.95
2,L2 Sack Based Floor, I am tilting,arthurdantas,208.12,354.34000000000003
2,L2 Sack Based Floor,jbieligk,jbieligk,206.88,389.16999999999996
2,L4 LTS League 4 (some),You could do worse,pfitzsimmons85,205.8,356.67
2,L5 Week 3 Nick Foles,sadmalander,sadmalander,203.89,395.91999999999996
2,L4 LTS League 4 (some),BigUglyRhino,ErikFedders,201.86,376.72
2,L4 LTS League 4 (some),jetsgnome22,jetsgnome22,201.83,372.6
2,L1 The Process,Weagle85,Weagle85,198.89,354.26
2,L2 Sack Based Floor,kfisch55,kfisch55,197.89,369.85
2,L3 The Only Legitimate LTS Bowl League,_casey88,_casey88,196.56,346.32
2,L5 Week 3 Nick Foles,Lenny’s Retirement Party,matthewdwood82,195.18,330.76
2,L1 The Process,Admiral Snackbar,Dandelo19,193.37,369.45000000000005
2,L1 The Process,SycamoreFlynns,SycamoreFlynns,191.15,344.36
2,L5 Week 3 Nick Foles,The Lib Owners,nak97,189.82,357.5
2,L5 Week 3 Nick Foles,Sexy Skeletons ,aspires,188.31,359.32
2,L4 LTS League 4 (some),Tennesunk Titans,austinhunt94,188.06,388.44
2,L1 The Process,AWhore,AWhore,186.13,345.26
2,L2 Sack Based Floor,The Process,stephensear,183.08,338.23
2,L4 LTS League 4 (some),DavisDayCare,DavisDayCare,183.01,364.81
2,L3 The Only Legitimate LTS Bowl League,Never Owned ,alexewart,181.16,392.04999999999995
2,L2 Sack Based Floor,LamArby’s,apulianas,180.09,344.53999999999996
2,L1 The Process,O'Shaughnessy's Pub,OShaughnessysPub,178.95,353.57
2,L4 LTS League 4 (some),Poop on the Cob,Joker1b,176.45,341.4
2,L3 The Only Legitimate LTS Bowl League,johnnysmomskid,johnnysmomskid,174.97,331.90999999999997
2,L2 Sack Based Floor,Leg Wrestling Champ,RawlsTofJ,174.05,314.06
2,L5 Week 3 Nick Foles,Great Clips' Revenge,CommieEsq,173.81,368.39
2,L1 The Process,Sweep The Leg,ctjoumas,173.51,344.76
2,L4 LTS League 4 (some),powersrva,powersrva,172.58,322.07000000000005
2,L2 Sack Based Floor,jimmy2thumbs,jimmy2thumbs,171.02,365.54
2,L5 Week 3 Nick Foles,fantasyscott,fantasyscott,170.03,314.09000000000003
1,L3 The Only Legitimate LTS Bowl League,Never Owned ,alexewart,210.89,210.89
1,L2 Sack Based Floor,Sorry to the kids,FoolofaTook13,207.99,207.99
1,L4 LTS League 4 (some),Tennesunk Titans,austinhunt94,200.38,200.38
1,L5 Week 3 Nick Foles,Big Seltzer™,jonsey456,196.56,196.56
1,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Deredactyl,196.51,196.51
1,L5 Week 3 Nick Foles,Great Clips' Revenge,CommieEsq,194.58,194.58
1,L2 Sack Based Floor,jimmy2thumbs,jimmy2thumbs,194.52,194.52
1,L5 Week 3 Nick Foles,sadmalander,sadmalander,192.03,192.03
1,L5 Week 3 Nick Foles,Closet Poopers,coots1185,191.92,191.92
1,L3 The Only Legitimate LTS Bowl League,WilhelmTilt,ringular,187.35,187.35
1,L3 The Only Legitimate LTS Bowl League,The Woke FAAB,reginaldo,184.47,184.47
1,L2 Sack Based Floor,jbieligk,jbieligk,182.29,182.29
1,L4 LTS League 4 (some),DavisDayCare,DavisDayCare,181.8,181.8
1,L1 The Process,sugarfreemocha,sugarfreemocha,179.92,179.92
1,L5 Week 3 Nick Foles,TD Upside,csurunnerccr,176.72,176.72
1,L1 The Process,Admiral Snackbar,Dandelo19,176.08,176.08
1,L4 LTS League 4 (some),BigUglyRhino,ErikFedders,174.86,174.86
1,L1 The Process,O'Shaughnessy's Pub,OShaughnessysPub,174.62,174.62
1,L4 LTS League 4 (some),Forrest Whitaker eye,cptbeefalo,173.09,173.09
1,L2 Sack Based Floor,The Poop Monsters,karmannkc,172.44,172.44
1,L2 Sack Based Floor,kfisch55,kfisch55,171.96,171.96
1,L3 The Only Legitimate LTS Bowl League,39ers,tripp39,171.6,171.6
1,L1 The Process,Sweep The Leg,ctjoumas,171.25,171.25
1,L5 Week 3 Nick Foles,Sexy Skeletons ,aspires,171.01,171.01
1,L4 LTS League 4 (some),jetsgnome22,jetsgnome22,170.77,170.77
1,L1 The Process,#Fartgate,DrWraith84,169.12,169.12
1,L5 Week 3 Nick Foles,The Lib Owners,nak97,167.68,167.68
1,L4 LTS League 4 (some),Bang Bang Gang,theB1gGuy,167.15,167.15
1,L1 The Process,Horsey Sauce,FeelingDangerouz,165.09,165.09
1,L4 LTS League 4 (some),Poop on the Cob,Joker1b,164.95,164.95
1,L2 Sack Based Floor,LamArby’s,apulianas,164.45,164.45
1,L1 The Process,AWhore,AWhore,159.13,159.13
1,L3 The Only Legitimate LTS Bowl League,johnnysmomskid,johnnysmomskid,156.94,156.94
1,L1 The Process,Weagle85,Weagle85,155.37,155.37
1,L2 Sack Based Floor,The Process,stephensear,155.15,155.15
1,L1 The Process,SycamoreFlynns,SycamoreFlynns,153.21,153.21
1,L4 LTS League 4 (some),You could do worse,pfitzsimmons85,150.87,150.87
1,L3 The Only Legitimate LTS Bowl League,Turd Ferguson,TurdFergusonFF,150.83,150.83
1,L3 The Only Legitimate LTS Bowl League,_casey88,_casey88,149.76,149.76
1,L4 LTS League 4 (some),powersrva,powersrva,149.49,149.49
1,L2 Sack Based Floor, I am tilting,arthurdantas,146.22,146.22
1,L4 LTS League 4 (some),The Glorious Process,GuzOP21,144.8,144.8
1,L5 Week 3 Nick Foles,fantasyscott,fantasyscott,144.06,144.06
1,L2 Sack Based Floor,Not Great Bob,tommcg17,142.25,142.25
1,L2 Sack Based Floor,Leg Wrestling Champ,RawlsTofJ,140.01,140.01
1,L3 The Only Legitimate LTS Bowl League,Gods of War,DefLepFan4Ever,138.47,138.47
1,L5 Week 3 Nick Foles,Lenny’s Retirement Party,matthewdwood82,135.58,135.58
