Team,Total Points For,Total Points Against,League
Closet Poopers,3302.61,2868.6,L5 Week 3 Nick Foles
The Glorious Process,3299.97,2899.28,L4 LTS League 4 (some)
39ers,3264.29,3035.84,L3 The Only Legitimate LTS Bowl League
The Enemy Speaks Kindly,3252.58,2888.44,L3 The Only Legitimate LTS Bowl League
Lenny’s Retirement Party,3216.61,2806.13,L5 Week 3 Nick Foles
sugarfreemocha,3175.9,2977.71,L1 The Process
Big Seltzer™,3161.93,2865.05,L5 Week 3 Nick Foles
Horsey Sauce,3150.38,2979.81,L1 The Process
Never Owned ,3146.34,2834.33,L3 The Only Legitimate LTS Bowl League
LamArby’s,3120.14,2771.19,L2 Sack Based Floor
Sorry to the kids,3119.72,2900.08,L2 Sack Based Floor
The Poop Monsters,3089.03,2815.54,L2 Sack Based Floor
jbieligk,3079.81,2964.1,L2 Sack Based Floor
Of All Days!!!!,3030.5299999999997,2984.68,L1 The Process
WilhelmTilt,3010.47,3044.63,L3 The Only Legitimate LTS Bowl League
Tennesunk Titans,3001.87,2986.13,L4 LTS League 4 (some)
Forrest Whitaker eye,2988.91,3133.18,L4 LTS League 4 (some)
“With His Legs”,2987.77,3068.2999999999997,L5 Week 3 Nick Foles
DavisDayCare,2900.56,2772.17,L4 LTS League 4 (some)
Sweep The Leg,2890.07,2758.21,L1 The Process
Not Great Bob,2856.95,2771.46,L2 Sack Based Floor
Hana Ho Beaches,2845.33,2968.06,L1 The Process
Ridders Revenge,2835.2599999999998,2823.24,L3 The Only Legitimate LTS Bowl League
You could do worse,2830.63,2987.74,L4 LTS League 4 (some)
powersrva,2829,2941.93,L4 LTS League 4 (some)
jetsgnome22,2771.62,2768.74,L4 LTS League 4 (some)
My Team Sux,2745.86,2882.24,L3 The Only Legitimate LTS Bowl League
SycamoreFlynns,2732.35,2834.2,L1 The Process
Great Clips' Revenge,2731.98,2886.89,L5 Week 3 Nick Foles
kfisch55,2729.63,2862.43,L2 Sack Based Floor
Gods of War,2701.73,2798.63,L3 The Only Legitimate LTS Bowl League
AWhore,2699.86,2980.25,L1 The Process
Sexy Skeletons ,2680.21,2715.06,L5 Week 3 Nick Foles
The Lib Owners,2679.47,2957.49,L5 Week 3 Nick Foles
charlessword,2667.99,3053.46,L5 Week 3 Nick Foles
WhatKindOfNameIsDenny?,2639.56,2599.9,L2 Sack Based Floor
Turd Ferguson,2606.62,2732.04,L3 The Only Legitimate LTS Bowl League
BigUglyRhino,2599.7200000000003,2867.56,L4 LTS League 4 (some)
Admiral Snackbar,2592.65,2786.28,L1 The Process
Weagle85,2552.46,2539.39,L1 The Process
Poop on the Cob,2547.29,2512.24,L4 LTS League 4 (some)
O'Shaughnessy's Pub,2543.89,2404.83,L1 The Process
The Woke FAAB,2536,2432.75,L3 The Only Legitimate LTS Bowl League
Bang Bang Gang,2500.8,2401.4,L4 LTS League 4 (some)
Leg Wrestling Champ,2500.07,2922.49,L2 Sack Based Floor
The Process,2488.74,2392.91,L2 Sack Based Floor
fantasyscott,2449.55,2554.95,L5 Week 3 Nick Foles
TD Upside,2433.4,2535.59,L5 Week 3 Nick Foles
 I am tilting,2383.11,3006.66,L2 Sack Based Floor
Edina Cake Eaters,2337.82,2964.83,L3 The Only Legitimate LTS Bowl League
