Week,Category,League,Awardee,Opponent,Awardee Score,Opponent Score,Difference
9,Biggest Blowout,L4 LTS League 4 (some),The Glorious Process,BigUglyRhino,223.1,123.17,99.92999999999999
9,Narrowest Win,L1 The Process,Hana Ho Beaches,Admiral Snackbar,172.55,172.53,0.020000000000010232
9,Fewest Points in Win,L5 Week 3 Nick Foles,Great Clips' Revenge,Big Seltzer™,138.85,124.09,14.759999999999991
9,Most Points in Loss,L5 Week 3 Nick Foles,fantasyscott,Lenny’s Retirement Party,157.77,241.51,83.73999999999998
9,Highest Score,L5 Week 3 Nick Foles,Lenny’s Retirement Party,fantasyscott,241.51,157.77,83.73999999999998
9,Lowest Score,L3 The Only Legitimate LTS Bowl League,Edina Cake Eaters,The Woke FAAB,96.99,191.14,94.14999999999999
8,Biggest Blowout,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Ridders Revenge,263.99,162.17,101.82000000000002
8,Narrowest Win,L2 Sack Based Floor,Not Great Bob,WhatKindOfNameIsDenny?,212.81,207.54,5.27000000000001
8,Fewest Points in Win,L3 The Only Legitimate LTS Bowl League,Gods of War,My Team Sux,186.23,151.61,34.619999999999976
8,Most Points in Loss,L3 The Only Legitimate LTS Bowl League,Ridders Revenge,The Enemy Speaks Kindly,162.17,263.99,101.82000000000002
8,Highest Score,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Ridders Revenge,263.99,162.17,101.82000000000002
8,Lowest Score,L2 Sack Based Floor,Leg Wrestling Champ,The Process,135.72,203.94,68.22
7,Biggest Blowout,L2 Sack Based Floor,The Poop Monsters,Leg Wrestling Champ,247.76,127.2,120.55999999999999
7,Narrowest Win,L5 Week 3 Nick Foles,Sexy Skeletons ,Big Seltzer™,175.79,174.56,1.2299999999999898
7,Fewest Points in Win,L4 LTS League 4 (some),jetsgnome22,Poop on the Cob,153.93,144.2,9.730000000000018
7,Most Points in Loss,L2 Sack Based Floor,Leg Wrestling Champ,The Poop Monsters,127.2,247.76,120.55999999999999
7,Highest Score,L2 Sack Based Floor,The Poop Monsters,Leg Wrestling Champ,247.76,127.2,120.55999999999999
7,Lowest Score,L2 Sack Based Floor,Not Great Bob,LamArby’s,120.09,214.47,94.38
6,Biggest Blowout,L1 The Process,#Fartgate,Admiral Snackbar,181.48,124.65,56.829999999999984
6,Narrowest Win,L2 Sack Based Floor,kfisch55,The Poop Monsters,173.21,172.02,1.1899999999999977
6,Fewest Points in Win,L4 LTS League 4 (some),Poop on the Cob,powersrva,155.72,152.76,2.960000000000008
6,Most Points in Loss,L4 LTS League 4 (some),The Glorious Process,DavisDayCare,161.2,208.21,47.01000000000002
6,Highest Score,L4 LTS League 4 (some),DavisDayCare,The Glorious Process,208.21,161.2,47.01000000000002
6,Lowest Score,L1 The Process,Admiral Snackbar,#Fartgate,124.65,181.48,56.829999999999984
5,Biggest Blowout,L3 The Only Legitimate LTS Bowl League,Never Owned ,The Woke FAAB,204.85,112.99,91.86
5,Narrowest Win,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,My Team Sux,227.43,227.25,0.18000000000000682
5,Fewest Points in Win,L1 The Process,O'Shaughnessy's Pub,Sweep The Leg,150.23,137.24,12.98999999999998
5,Most Points in Loss,L4 LTS League 4 (some),Forrest Whitaker eye,powersrva,166.88,250.89,84.00999999999999
